ID,Recap,Trap,SVL,VTL,Regen,Weight,Sex,Year,projected_SVL,Toes
311,True,"['PR1', 'R71']",60,71,0.1,4.21,M,2020,100,[]
312,False,['R2'],57,72,0.0,3.68,nan,2020,67,[]
313,False,['PR6'],55,72,0.0,3.76,nan,2020,65,[]
314,True,"['R80', 'PR10']",65,71,0.0,6.68,nan,2020,100,[]
315,False,['PR65'],59,72,0.0,3.95,nan,2020,69,[]
316,False,['R90'],54,9,1.0,2.95,M,2020,64,[]
317,False,['R103'],69,87,0.1,6.95,M,2020,100,"['LF3', 'RF2']"
318,True,['R81'],67,49,4.0,7.36,F,2020,100,[]
319,False,"['', 'near', 'R31']",70,56,28.0,9.06,F,2020,100,[]
320,False,['R100'],75,18,9.0,9.05,F,2020,100,[]
321,False,['R12'],73,70,0.5,9.45,F,2020,100,"['RF1', 'LR1', 'LR2', 'LR3', 'LR4', 'LR5', 'RR1', 'RR3']"
322,False,['W7'],53,60,2.0,2.45,J,2020,63,[]
323,True,"['W13', 'PR7', 'R76']",65,74,3.0,5.91,M,2020,100,[]
324,True,"['PR59', 'R26']",63,70,1.0,5.14,M,2020,100,[]
325,True,['R16'],60,70,3.0,5.03,M,2020,100,"['LF1', 'LF2', 'RF4', 'LR3', 'LR4', 'RR4']"
326,True,"['R97', 'R96', 'R99']",67,62,10.0,5.66,nan,2020,100,"['RF1', 'RF2', 'RF5', 'LR2', 'LR3', 'LR4', 'RR1']"
327,True,['PR53'],65,53,1.0,6.64,F,2020,100,[]
328,False,['PR53'],72,80,5.0,10.05,F,2020,100,[]
329,True,['R12'],65,53,7.0,5.72,M,2020,100,['LR4']
330,False,"['W23', 'W24', 'R1']",54,71,2.0,3.26,J,2020,64,[]
331,False,['W20'],56,68,8.0,3.38,J,2020,66,[]
332,True,"['W25', 'W26']",66,39,16.0,4.94,F,2020,100,['RR4']
333,True,"['R9', 'PR19']",69,63,11.0,6.07,M,2020,100,"['LF1', 'RR3', 'RR4']"
334,True,['R81'],69,64,12.0,6.17,M,2020,100,[]
335,False,"['PR18', 'W14']",56,70,0.0,3.15,nan,2020,66,[]
336,False,['PR5'],70,69,12.0,6.22,F,2020,100,"['LF5', 'RF3', 'LR5']"
337,False,['PR57'],72,82,0.1,8.38,F,2020,100,"['LF2', 'LF3', 'LF4', 'RF2', 'LR5']"
338,False,['R95'],53,68,0.0,2.75,J,2020,63,[]
339,False,['R77'],54,77,0.0,3.04,J,2020,64,[]
340,True,"['R17', 'R16']",67,44,0.5,5.61,F,2020,100,"['RF3', 'RF4', 'LR1', 'LR2', 'LR3', 'LR4', 'LR5', 'RR1', 'RR2', 'RR3', 'RR4', 'RR5']"
341,False,['R94'],55,67,0.1,3.65,nan,2020,65,[]
342,False,['R67'],66,69,8.0,6.04,M,2020,100,['RR2']
343,False,['PR6'],68,89,0.0,6.57,M,2020,100,[]
344,True,"['W7', 'W20']",63,75,0.1,5.64,F,2020,100,[]
345,False,['W26'],55,66,0.0,3.16,nan,2020,65,['RR1']
346,False,['W13'],56,21,2.0,2.84,nan,2020,66,[]
347,False,['R9'],55,68,0.1,3.13,nan,2020,65,[]
348,False,['PR77'],73,78,1.0,8.23,F,2020,100,[]
349,True,['R31'],76,39,29.0,8.08,F,2020,100,[]
350,False,['W13'],50,63,1.0,2.38,J,2020,60,[]
351,False,['PR12'],56,75,1.0,2.94,J,2020,66,[]
352,False,['PR3'],67,64,20.0,5.4,M,2020,100,[]
353,False,['R71'],69,71,0.1,6.18,M,2020,100,"['LF2', 'LF3', 'RF3', 'RF4', 'LR2', 'LR3', 'LR4', 'LR5', 'RR1']"
354,True,"['R90', 'R95']",61,67,5.0,4.73,M,2020,100,[]
355,False,"['R87', 'R88']",74,62,8.0,9.19,F,2020,100,"['LF1', 'LF2', 'LF4', 'RF4']"
356,True,"['W4', 'W22', 'R3']",65,34,0.1,5.04,M,2020,100,[]
357,False,['W5'],71,34,28.0,6.22,F,2020,100,[]
358,True,"['R36', 'R34']",56,54,19.0,3.43,nan,2020,66,['RF1']
359,False,['W26'],55,75,1.0,3.96,M,2020,65,[]
360,False,['R74'],55,70,0.0,3.19,nan,2020,65,[]
361,False,['R73'],53,70,0.0,2.93,nan,2020,63,[]
362,False,['R12'],52,14,0.1,2.12,nan,2020,62,"['LR1', 'LR2', 'LR3', 'RR5']"
364,True,"['PR20', 'R10']",60,73,0.0,4.23,nan,2020,100,[]
365,False,['PR23'],66,64,15.0,5.28,nan,2020,100,[]
366,True,"['PR7', 'R77']",66,69,0.5,6.36,F,2020,100,['LR3']
367,False,['R67'],68,27,5.0,6.96,M,2020,100,[]
368,False,['R100'],69,84,0.1,6.87,M,2020,100,"['LF1', 'LR3', 'LR5']"
369,False,['R79'],58,65,0.1,3.82,nan,2020,68,[]
370,False,['R15'],73,78,5.0,7.73,M,2020,100,[]
371,False,"['W9', 'W17', 'W18']",62,30,20.0,3.71,nan,2020,100,[]
372,False,['PR3'],67,51,23.0,6.69,M,2020,100,[]
373,False,['R68'],55,25,3.0,3.09,nan,2020,65,[]
374,False,['R34'],65,79,3.0,6.05,M,2020,100,[]
375,False,['R9'],67,71,1.0,5.8,M,2020,100,['LF1']
376,True,['B3'],76,67,3.0,10.21,F,2020,100,[]
377,False,"['near', 'R31']",51,74,0.0,4.05,M,2020,61,[]
378,False,['R87'],70,31,0.0,7.2,F,2020,100,[]
379,False,['B2'],72,49,36.0,7.1,nan,2020,100,[]
380,False,['R4'],69,84,1.0,6.92,M,2020,100,"['LF4', 'RR5']"
381,False,['R99'],56,26,13.0,2.71,nan,2020,66,[]
